No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
67,Chromatic Aberration / RGB Split,General,"RGB split, color fringing, glitch, retro tech, VHS, analog error, distortion, lens effect","Offset RGB: Red #FF0000, Green #00FF00, Blue #0000FF, Black #000000","Neon accents, scan lines, noise overlays, error colors","RGB offset animation, glitch timing, scan line movement, noise flicker, distortion on hover","Music platforms, gaming, tech brands, creative portfolios, nightlife, entertainment, video platforms","Corporate, healthcare, finance, accessibility-critical, elderly users",✓ Full,✓ Dark preferred,⚠ Good,⚠ Can cause strain,◐ Medium,✓ High,"CSS filters 10/10, GSAP 10/10",2020s Retro-Tech,Medium,"Design with chromatic aberration RGB split effect. Use: color channel offset (R/G/B), glitch aesthetic, retro tech feel, VHS error look, lens distortion, scan lines, noise overlay, analog imperfection.","filter: drop-shadow with offset colors, text-shadow: RGB offset (-2px 0 red, 2px 0 cyan), animation: glitch (random offset), ::before for scanlines, mix-blend-mode: screen for overlays","☐ RGB split visible, ☐ Glitch effect controlled, ☐ Scan lines subtle, ☐ Performance ok, ☐ Readability maintained, ☐ Reduced motion option","--rgb-offset: 2px, --red-channel: #FF0000, --green-channel: #00FF00, --blue-channel: #0000FF, --glitch-duration: 0.3s, --scanline-opacity: 0.1"
68,Vintage Analog / Retro Film,General,"Film grain, VHS, cassette tape, polaroid, analog warmth, faded colors, light leaks, vintage photography","Faded Cream #F5E6C8, Warm Sepia #D4A574, Muted Teal #4A7B7C, Soft Pink #E8B4B8","Grain overlays, light leak oranges, shadow blues, vintage paper tones, desaturated accents","Film grain overlay, VHS tracking effect, polaroid shake, fade-in transitions, light leak animations","Photography portfolios, music/vinyl brands, vintage fashion, nostalgia marketing, film industry, cafes","Modern tech, SaaS, healthcare, children's apps, corporate enterprise",✓ Full,◐ Partial,⚡ Good,✓ WCAG AA,✓ High,✓ High,"CSS filters 10/10, Canvas 9/10",1970s-90s Analog Revival,Medium,"Design with vintage analog film aesthetic. Use: film grain overlay, faded/desaturated colors, warm sepia tones, light leaks, VHS tracking effect, polaroid frame, analog warmth, nostalgic photography feel.","filter: sepia() contrast() saturate(0.8), background: noise texture overlay, animation: VHS tracking (transform skew), light leak gradient overlay, border for polaroid frame, grain via SVG filter","☐ Film grain visible, ☐ Colors faded/warm, ☐ Light leaks present, ☐ Nostalgic feel achieved, ☐ Performance with filters, ☐ Images look vintage","--sepia-amount: 20%, --contrast: 1.1, --saturation: 0.8, --grain-opacity: 0.15, --light-leak-color: rgba(255,200,100,0.2), --warm-tint: #F5E6C8"

69,Aurora Borealis,General,"aurora,borealis,gradient,ethereal,glow,wave,shimmer,polar,sky,northern","#0FFFC1","#00D4FF","Dynamic gradient waves shifting colors like northern lights, subtle particle shimmer animations, soft glow pulses","#Atmospheric websites, music players, wellness apps","Corporate sites, e-commerce checkouts",Yes,Yes,Medium,Medium,High,No,"CSS,Canvas,Three.js",Modern,High,"Design an aurora borealis inspired UI with flowing multicolored gradient waves mimicking the northern lights, ethereal glows transitioning between greens, purples, blues and pinks, subtle particle trails and shimmering effects creating a mesmerizing sky-like background","linear-gradient(45deg,#0FFFC1,#00D4FF,#9B59B6),animation:auroraShift 20s infinite,box-shadow:0 0 50px rgba(0,255,255,0.5)"
70,Mesh Gradient,General,"mesh,gradient,vector,organic,flow,curved,colorful,abstract,parametric,nurbs","#FF6B6B","#4ECDC4","Parametric mesh distortions creating organic gradient flows, interactive color morphing on scroll/hover","#Creative agencies, art galleries, landing pages","Enterprise software, banking apps",Yes,Yes,Medium,Medium,High,No,"SVG,Canvas,GSAP",Modern,High,"Generate a mesh gradient UI where colorful parametric surfaces create flowing organic shapes with smooth color transitions between reds, blues, yellows and teals, interactive distortion effects responding to mouse movement for immersive abstract backgrounds","meshgradient,filter:url(#mesh),animation:meshFlow 5s ease-in-out infinite"
71,Grain Texture,General,"grain,texture,film,noise,analog,vintage,organic,halftone,dither,scratch","#F5F5F5","#1A1A1A","Subtle animated grain overlay with film noise effects, parallax grain movement, halftone patterns","#Photography sites, portfolios, editorial content","Clean corporate, medical interfaces",Yes,Yes,High,Medium,High,Yes,"CSS,Canvas",Retro,Low,"Create grain texture UI with authentic film grain overlay, animated noise patterns moving subtly across elements, vintage halftone dots and analog imperfections adding organic texture to modern layouts","background-image:url(grain.png),mix-blend-mode:overlay,animation:grainFloat 10s infinite"
72,Noise Overlay,General,"noise,overlay,texture,dither,static,grain,fuzz,distortion,analog,imperfect","#FFFFFF","#000000","Dynamic noise overlay with adjustable intensity, static interference animations, dither patterns","#Experimental sites, music visuals, glitch art","Accessibility-focused, enterprise apps",Yes,Yes,Medium,Low,Medium,No,"CSS,Canvas",Modern,Medium,"Design noise overlay UI featuring animated static interference patterns, subtle dither textures across backgrounds and elements, controllable noise density creating distressed digital textures with analog imperfections","noise-filter,animation:staticNoise 2s infinite,backdrop-filter:contrast(1.1)"
73,Parallax Depth,General,"parallax,depth,layers,scroll,3D,perspective,motion,foreground,background,spatial","#E8F4FD","#0A2540","Multi-layered parallax scrolling with depth separation, perspective transforms, mouse-following layers","#Storytelling sites, portfolios, hero sections","Data tables, forms, admin panels",Yes,Yes,High,Medium,Medium,Yes,"CSS,GSAP,ScrollTrigger",Modern,Medium,"Build parallax depth UI with multiple foreground, midground and background layers moving at different speeds during scroll, 3D perspective transforms creating spatial depth, subtle mouse parallax for enhanced immersion","transform:perspective(1000px) translateZ(-50px),will-change:transform,transform-style:preserve-3d"
74,Isometric,General,"isometric,3D,projection,grid,architecture,technical,perspective,blocks,cubes,spatial","#FFABAB","#4A90E2","Isometric grid layouts with 3D block elements, shadow casting, rotation animations","#Dashboards, product mockups, gaming sites","Text-heavy content, mobile-first apps",Yes,Yes,High,High,Medium,Yes,"CSS,Three.js,SVG",Modern,High,"Create isometric UI design featuring 30-degree angled 3D projections of blocks, cubes and architecture on isometric grid systems, realistic shadows and hover rotations maintaining perfect perspective geometry","transform:rotateX(60deg) rotateY(45deg) rotateZ(0deg),transform-style:preserve-3d,perspective:1000px"
75,Retro Pixel,General,"pixel,retro,8bit,16bit,gameboy,nintendo,chiptune,dither,sprite,lowres","#FF0040","#00FF80","Pixelated elements with dithering patterns, 8-bit color palettes, scanline effects","#Gaming sites, indie games, nostalgia brands","Luxury, finance, healthcare apps",Yes,Yes,High,Medium,High,Yes,"CSS,Canvas,Pixelate filter",1980s-90s,Medium,"Design retro pixel UI using strict 8-bit color limitations and blocky pixelated typography, animated dither patterns and sprite-style buttons, scanline overlays creating authentic Game Boy/NES aesthetic","image-rendering:pixelated,shape-outside:polygon(0 0,100% 0,100% 100%,0 100%),filter:contrast(1.2)"
76,Vaporwave,General,"vaporwave,retro,80s,pink,neon,palm,grid,sunset,glitch,synthwave","#FF69B4","#00FFFF","Grid layouts with pink/blue neon glows, palm tree silhouettes, vapor distortion effects","#Music sites, fashion, youth culture","Professional services, government sites",Yes,Yes,High,Low,High,No,"CSS,GSAP,WebGL",2010s,Medium,"Create vaporwave UI with hot pink and cyan neon gradients on black grids, palm tree silhouettes against sunset gradients, animated glitch distortions and vapor trail effects with Japanese text overlays","text-shadow:0 0 10px #FF69B4,mix-blend-mode:screen,animation:vaporGlitch 3s infinite"
77,Cyberpunk,General,"cyberpunk,neon,futuristic,dark,hacker,rain,grid,chrome,glitch,terminal","#0FF","#F0F","High contrast neon on black, animated rain/glitch effects, chrome reflections","#Tech startups, gaming, nightlife sites","Children's apps, healthcare, education",No,Yes,Medium,Medium,High,No,"CSS,Three.js,Canvas",1980s-2020s,High,"Design cyberpunk UI with dark backgrounds featuring electric blue, hot pink and cyan neon glows, animated digital rain and matrix code, holographic chrome surfaces with glitch distortions and terminal-style typography","text-shadow:0 0 20px #0FF,animation:rain 10s linear infinite,box-shadow:inset 0 0 50px rgba(255,0,255,0.3)"
78,Organic Biomorphic,General,"organic,biomorphic,fluid,nature,blob,amoeba,cellular,flowing,mutation,growth","#A8E6CE","#FFD3B6","Morphing organic blob shapes, cellular growth animations, fluid transformations","#Wellness apps, biotech, nature brands","Technical documentation, finance dashboards",Yes,Yes,High,Medium,High,Yes,"SVG,GSAP,MorphSVG",Modern,High,"Create organic biomorphic UI with living cellular structures that morph and grow like amoebas, fluid blob shapes connecting organically, animated mutations revealing content through natural expansion patterns","clip-path:polygon(...),animation:morphOrganic 8s ease-in-out infinite,drawing-path"
79,Kinetic Typography,General,"kinetic,typography,animated,text,motion,3D,extrude,flowing,typographic,letterpress","#FF4757","#3742FA","3D extruded text with kinetic motion paths, letter-by-letter animations, flowing type","#Creative agencies, portfolios, hero sections","Data tables, forms, navigation menus",Yes,Yes,Medium,Low,Medium,No,"CSS,Three.js,GSAP",Modern,High,"Design kinetic typography UI where oversized letters follow dynamic motion paths with 3D extrusion and perspective rotation, text flows and reshapes revealing messages through choreographed letter movements","text-transform:perspective(1000px),animation:kineticPath 5s cubic-bezier(0.25,0.46,0.45,0.94),transform-style:preserve-3d"
80,Data Brutalism,General,"data,brutalism,terminal,monospace,grid,raw,functional,industrial,code,metrics","#00FF00","#000000","Monospace grids with brutal concrete textures, raw data tables, terminal aesthetics","#Analytics dashboards, fintech, developer tools","Creative portfolios, e-commerce, lifestyle",Yes,Yes,High,High,High,Yes,"CSS,Grid,Typography",Modern,Low,"Create data brutalism UI featuring raw concrete textures, strict monospace grids and terminal-style data presentation, exposed structural elements with functional sans-serif typography and minimal ornamentation","font-family:'Courier New',monospace,background:linear-gradient(90deg,#111 0%,#222 100%),box-shadow:4px 4px 0 #000"
81,Neo-Retro,General,"neo,retro,futuristic,vintage,chrome,scanline,analog,digital,synth,midcentury","#FF6B35","#2C3E50","Chrome accents with scanline overlays, retro shapes in modern layouts, analog warmth","#Product showcases, tech blogs, startups","Medical, government, educational sites",Yes,Yes,High,High,High,Yes,"CSS,Canvas,Blend modes",2020s,Medium,"Design neo-retro UI blending mid-century modern shapes with chrome highlights and subtle scanline effects, warm analog color palettes meeting digital precision, vintage furniture silhouettes in contemporary layouts","mix-blend-mode:screen,filter:contrast(1.1) hue-rotate(20deg),box-shadow:0 8px 32px rgba(0,0,0,0.3)"
82,Art Deco,General,"art,deco,1920s,geometric,ziggurat,sunburst,chrome,gold,black,streamline","#FFD700","#1A1A1A","Geometric ziggurat patterns, sunburst motifs, gold/chrome on black, stepped typography","#Luxury brands, entertainment, hospitality","Tech dashboards, forms, mobile apps",Yes,No,High,Medium,Medium,No,"CSS,SVG,Clip-path",1920s,High,"Create art deco UI with bold geometric ziggurat shapes, radiating sunburst patterns in gold and chrome against black backgrounds, streamlined typography with stepped letterforms and elegant fan motifs","clip-path:polygon(0 0,100% 0,95% 10%,100% 20%,95% 30%,100% 40%),background:linear-gradient(45deg,#FFD700,#FFED4E)"
83,Bauhaus,General,"bauhaus,1920s,geometric,primary,circle,square,triangle,asymmetric,constructivist,sans-serif","#FF0000","#0000FF","Primary color blocks with geometric shapes, asymmetric layouts, sans-serif typography","#Museums, architecture firms, modernists","Ornate decorative sites, gaming, social media",Yes,Yes,High,High,Medium,Yes,"CSS Grid,Flexbox,Typography",1920s,Medium,"Design bauhaus UI using strict primary red, yellow, blue and black color palette with perfect circles, squares and triangles arranged asymmetrically, heavy sans-serif typography emphasizing form follows function","font-family:'Futura','Helvetica Neue',sans-serif,aspect-ratio:1/1,place-items:center"
84,Memphis,General,"memphis,1980s,pattern,geometric,colorful,zigzag,wavy,clashing,motif,kitsch","#FF69B4","#00CED1","Clashing geometric patterns, bright squiggles, bold color combinations, thick outlines","#Youth brands, playful apps, pattern shops","Minimalist, luxury, professional services",Yes,Yes,High,Low,High,No,"SVG,Canvas,Patterns",1980s,High,"Create memphis group UI with explosive colorful geometric patterns featuring zigzags, squiggles and clashing motifs in hot pink, teal, yellow and lime, thick black outlines and postmodern exuberance","fill:url(#memphis-pattern),stroke:#000 stroke-width:4,animation:rotate 20s linear infinite"
85,Swiss International,General,"swiss,international,typographic,grid,asymmetric,flush-left,sans-serif,modernist,akzidenz,Helvetica","#000000","#FFFFFF","Strict typographic grids, asymmetric flush-left layouts, generous white space, Akzidenz-Grotesk","#Editorial, publishing, institutional sites","Gaming, social media, decorative design",Yes,Yes,High,High,High,Yes,"CSS Grid,Typography,Spacing",1950s-60s,Low,"Design swiss international style UI featuring asymmetric typographic compositions on strict grids, flush-left alignment with ragged right edges, generous white space and precise kerning using akzidenz-grotesk or helvetica","font-family:'Akzidenz-Grotesk','Helvetica Neue',sans-serif,text-align:left,line-height:1.6"
86,Editorial,General,"editorial,magazine,typographic,hierarchy,modular,bleed,grid,fashion,longform,spread","#EAECEE","#1A1A1A","Modular grid systems, generous typography, image bleeds, sophisticated color stories","#Magazines, blogs, publishing platforms","E-commerce, dashboards, gaming sites",Yes,Yes,High,High,Medium,Yes,"CSS Grid,Masonry,Typography",Modern,Medium,"Create editorial UI resembling high-end magazine layouts with modular grid systems, dramatic typographic hierarchies, full-bleed imagery and sophisticated color palettes creating immersive reading experiences","grid-template-columns:repeat(12,1fr),object-fit:cover,hyphens:auto"
87,Bento Grid,General,"bento,grid,japanese,box,modular,asymmetric,contained,organized,compartmentalized,segmented","#F8F9FA","#212529","Asymmetric modular grid resembling bento boxes, contained cards with varied content types","#Dashboards, portfolios, content hubs","Linear scrolling, hero-focused sites",Yes,Yes,High,High,High,Yes,"CSS Grid,Container queries",Modern,Medium,"Design bento grid UI featuring asymmetric compartmentalized layouts like japanese lunch boxes, varied card sizes containing different content types organized within strict modular grid system","grid-template-columns:repeat(auto-fit,minmax(200px,1fr)),grid-auto-rows:200px,container-type:inline-size"
88,Card-Based,General,"card,modular,Masonry,content,organized,elevated,shadowed,contained,rhythmic,scannable","#FFFFFF","#DEE2E6","Elevated cards with subtle shadows, masonry layouts, consistent spacing rhythms","#Blogs, portfolios, e-commerce grids","Hero sections, full-width immersive sites",Yes,Yes,High,High,High,Yes,"CSS Grid,Masonry,Box-shadow",Modern,Low,"Create card-based UI using elevated modular cards arranged in masonry or grid layouts, subtle drop shadows creating hierarchy, consistent card dimensions with rhythmic spacing for scannable content organization","box-shadow:0 4px 12px rgba(0,0,0,0.1),transition:all 0.3s cubic-bezier(0.4,0,0.2,1),border-radius:12px"
89,Split-Screen,General,"split,screen,dual,side-by-side,asymmetric,contrast,layout,hero,presentation,two-column","#FF6B6B","#4ECDC4","Two-panel layouts with contrasting content, asymmetric divisions, full-height sections","#Landing pages, portfolios, presentations","Mobile-first, data-dense dashboards",Yes,Yes,High,Medium,Low,Yes,"CSS Grid,Flexbox,Viewport units",Modern,Low,"Design split-screen UI dividing viewport into contrasting left/right panels featuring hero content, imagery versus typography, animated content reveals crossing the divide on scroll","grid-template-columns:1fr 1fr,height:100vh,clip-path:polygon(0 0,60% 0,100% 50%,60% 100%,0 100%)"
90,Asymmetric Grid,General,"asymmetric,grid,organic,modular,varied,layout,unpredictable,dynamic,compositional,balanced","#F8F9FA","#495057","Uneven grid columns/rows creating organic flow, varied card heights, visual balance","#Creative portfolios, galleries, editorial","Data tables, forms, corporate sites",Yes,Yes,High,Medium,Medium,Yes,"CSS Grid,Masonry,Subgrid",Modern,Medium,"Create asymmetric grid UI with uneven column widths and row heights forming organic modular layouts, varied content blocks maintaining visual balance through careful compositional tension","grid-template-columns:1fr 2fr 1fr 3fr,grid-template-rows:200px 400px 150px auto,align-items:start"
91,Dashboard,General,"dashboard,data,metrics,widgets,charts,sidebar,modular,functional,analytics,KPI","#1E3A8A","#F8FAFC","Modular widget grids, data visualizations, collapsible sidebars, functional typography","#Analytics, admin panels, SaaS products","Creative portfolios, entertainment sites",Yes,Yes,High,High,High,Yes,"CSS Grid,Charts.js,D3.js",Modern,Medium,"Design dashboard UI featuring modular data widgets, interactive charts and graphs, collapsible navigation sidebars, KPI metrics with functional sans-serif typography and high information density","grid-template-columns:repeat(auto-fit,minmax(300px,1fr)),overflow:auto,chartjs-render"
92,Dark Luxe,General,"dark,luxe,premium,gradient,glass,chrome,gold,shadow,texture,elegant","#0F0F23","#D4AF37","Deep dark gradients with metallic gold accents, glass elements, premium textures","#Luxury brands, finance, high-end e-commerce","Children's apps, gaming, casual sites",No,Yes,High,High,Medium,Yes,"CSS,Backdrop-filter,Gradients",Modern,High,"Create dark luxe UI with deep indigo/navy gradients featuring metallic gold and chrome accents, frosted glass elements with premium textures, sophisticated shadows creating depth and exclusivity","background:linear-gradient(135deg,#0F0F23 0%,#1A1A3E 100%),box-shadow:0 25px 50px rgba(0,0,0,0.5),backdrop-filter:blur(20px)"
93,Neon Glow,General,"neon,glow,electric,bright,contrast,dark,outline,shadow,hover,retro","#00FFFF","#FF00FF","High-contrast neon outlines with glow effects, hover brightening, dark backgrounds","#Nightlife, gaming, music festivals","Accessibility-focused, corporate, reading-heavy",No,Yes,Medium,Low,High,No,"CSS,Box-shadow,Filters",1980s,Medium,"Design neon glow UI featuring electric cyan, magenta and lime outlines with intense glow shadows against pitch black backgrounds, hover states dramatically brightening elements with electric crackle effects","box-shadow:0 0 20px #00FFFF,0 0 40px #00FFFF,0 0 60px #00FFFF,text-shadow:0 0 10px currentColor"
94,Monochrome,General,"monochrome,black,white,gray,contrast,texture,typographic,minimal,elegant,timeless","#000000","#FFFFFF","Single color family with rich textures, extreme contrast, sophisticated grayscale","#Fashion, luxury, photography sites","Colorful brands, children's apps, gaming",Yes,Yes,High,High,High,Yes,"CSS Filters,Blend modes",Timeless,Low,"Create monochrome UI using pure black, white and infinite grays with rich textures and extreme contrast ratios, sophisticated typographic treatments emphasizing form through tonal variation","filter:grayscale(100%) contrast(1.2),mix-blend-mode:multiply,background:hsl(0 0% calc(luminance * 100%))"
95,Pastel Pop,General,"pastel,pop,soft,bright,gradient,minty,pink,mellow,vibrant,playful","#FFB3BA","#A8E6CF","Soft pastel gradients with subtle pops of brighter accents, smooth transitions","#Wellness, beauty, lifestyle brands","Industrial, tech, finance dashboards",Yes,Yes,High,High,High,Yes,"CSS Gradients,Box-shadow",Modern,Low,"Design pastel pop UI featuring soft minty greens, blush pinks and lavender gradients with subtle brighter accent pops, smooth rounded elements and gentle shadows creating approachable vibrancy","background:linear-gradient(135deg,#FFB3BA,#A8E6CF,#FFAAA5),border-radius:24px,box-shadow:0 10px 30px rgba(0,0,0,0.1)"
96,Earth Tones,General,"earth,tones,terracotta,clay,mustard,sage,organic,natural,warm,grounded","#C97B63","#8B7355","Warm terracotta, sage green, mustard palettes, organic textures, natural materials","#Sustainable brands, food, outdoor lifestyle","Tech startups, gaming, nightlife sites",Yes,Yes,High,High,High,Yes,"CSS Filters,Textures",Modern,Low,"Create earth tones UI using warm terracotta reds, sage greens, ochre yellows and chocolate browns with organic paper textures, handcrafted imperfections and natural material simulations","background:linear-gradient(135deg,#C97B63,#8B7355,#A68A64),filter:saturate(0.8),mix-blend-mode:soft-light"
97,Gradient Mesh,General,"gradient,mesh,organic,parametric,flowing,colorful,abstract,vector,nurbs,surface","#FF9A56","#54A0FF","Complex mesh gradient surfaces with organic color flow, interactive morphing","#Creative portfolios, art direction, showcases","Data tables, forms, documentation",Yes,Yes,Medium,Medium,High,No,"SVG,Canvas,WebGL",Modern,High,"Design gradient mesh UI featuring parametric nurbs surfaces with flowing multicolored gradients, interactive mouse distortion creating organic color flows across complex 3D mesh landscapes","meshgradient,filter:url(#complexMesh),animation:surfaceFlow 15s ease-in-out infinite"
98,Frosted UI,General,"frosted,glass,blur,translucent,milk,texture,soft,ethereal,misty,scandi","#F0F8FF","#E6E6FA","Frosted glass effects with milk-white translucency, soft blur backgrounds, texture overlays","#SaaS products, mobile apps, cards","High contrast needs, data-heavy displays",Yes,Yes,High,Medium,High,Yes,"CSS Backdrop-filter,Blur",Modern,Medium,"Create frosted UI with milky translucent glass panels featuring soft backdrop blur effects, subtle ice crystal textures and ethereal light diffusion creating scandi-minimal elegance","backdrop-filter:blur(30px) saturate(180%),background:rgba(255,255,255,0.15),box-shadow:0 8px 32px rgba(31,38,135,0.37)"
99,Paper Tactile,General,"paper,tactile,texture,folded,creased,shadow,origami,sketch,handmade,analog","#FEF9E7","#D4A574","Paper textures with realistic folds/creases, long shadows, tactile hover states","#Creative agencies, portfolios, stationery","Digital products, dashboards, gaming",Yes,Yes,High,Medium,High,Yes,"CSS Box-shadow,Filters,SVG",Modern,Medium,"Design paper tactile UI simulating real paper materials with creases, folds and tears, dynamic long shadows creating depth, realistic edge wear and subtle fiber textures responding to interaction","box-shadow:8px 16px 0 #D4A574,filter:drop-shadow(0 4px 8px rgba(0,0,0,0.2)),transform-origin:bottom right"
100,Terminal Hacker,General,"terminal,hacker,code,green,monospace,scanline,glitch,cursor,command,cyber","#00FF41","#000000","Monospace green-on-black, blinking cursors, scanline interference, typing animations","#Developer tools, tech blogs, cybersecurity","Luxury brands, fashion, children's apps",Yes,Yes,High,Medium,High,Yes,"CSS,Canvas,Typewriter effect",1980s-90s,Medium,"Create terminal hacker UI with authentic green phosphor CRT glow on black, monospace code typography, animated typing cursors, scanline interference and matrix digital rain effects","font-family:'Courier New',monospace,color:#00FF41;background:#000,animation:typewriter 4s steps(40) infinite,text-shadow:0 0 5px currentColor"
101,Candy Playful,General,"candy,playful,sweet,colorful,gummy,bubblegum,rounded,gradient,jolly,whimsical","#FF69B4","#FF1493","Bubblegum pinks, candy gradients, ultra-rounded shapes, bouncy animations","#Children's apps, confectionery, toys","Enterprise software, finance, medical",Yes,Yes,High,Medium,High,No,"CSS,GSAP,Spring animations",Modern,Medium,"Design candy playful UI featuring bubblegum pink, lemon yellow and mint gradients with ultra-rounded gummy shapes, bouncy spring animations and sugary hover effects creating whimsical delight","border-radius:50%,background:linear-gradient(45deg,#FF69B4,#FF1493,#FFD700),animation:bounce 0.6s cubic-bezier(0.68,-0.55,0.265,1.55)"
102,Corporate Sleek,General,"corporate,sleek,professional,minimal,gradient,glass,serif,confident,premium,executive","#1E3A8A","#F1F5F9","Deep navy gradients with light blues, refined serif headings, glass navigation","#Business websites, consulting, finance","Gaming, social media, creative portfolios",Yes,Yes,High,High,High,Yes,"CSS,Grid,Typography",Modern,Low,"Create corporate sleek UI with sophisticated navy-to-blue gradients, refined serif typography for headings paired with perfect sans-serif body text, glass navigation elements conveying executive confidence","font-family:'Garamond',serif;font-weight:400;line-height:1.5,background:linear-gradient(135deg,#1E3A8A,#3B82F6),backdrop-filter:blur(10px)"
103,Handcrafted,General,"handcrafted,imperfect,organic,sketch,texture,paint,brush,clay,analog,warm","#E8C39E","#8B7355","Visible brush strokes, clay textures, imperfect edges, hand-drawn elements","#Artisan brands, craft, small business","High-tech, corporate, financial dashboards",Yes,Yes,High,Medium,High,Yes,"SVG,Canvas,Filters",Modern,Medium,"Design handcrafted UI featuring visible brush strokes, watercolor bleeds, clay pinch imperfections and hand-drawn decorative elements, warm analog materials celebrating artisanal process","filter:blur(0.5px) saturate(1.2),background:url(brush-texture.jpg),stroke-dasharray:5,10"
104,Line Art,General,"line,art,minimal,linework,contour,sketch,continuous,geometric,organic,typographic","#000000","#FFFFFF","Single continuous line drawings, geometric line patterns, minimalist illustrations","#Architecture, fashion, illustration sites","Data visualization, gaming, photography",Yes,Yes,High,High,High,Yes,"SVG,Stroke properties",Modern,Low,"Create line art UI using single continuous black line work on white backgrounds, geometric contour patterns and minimalist typographic line treatments, animated line drawing reveals","stroke:#000000;stroke-width:2;stroke-linecap:round;stroke-linejoin:round;fill:none,stroke-dasharray:1000;stroke-dashoffset:1000"
105,3D Hyperrealism,General,"3D,hyperrealism,photorealistic,raytracing,reflection,specular,pbr,metallic,studio,product","#F8F9FA","#1E293B","Photorealistic 3D renders with PBR materials, studio lighting, realistic shadows/reflections","#Product configurators, luxury goods, e-commerce","Abstract art, editorial, dashboard UIs",Yes,Yes,Medium,High,Medium,Yes,"Three.js,WebGL,PBR textures",Modern,High,"Design 3D hyperrealism UI featuring photorealistic raytraced 3D models with physically based rendering materials, studio lighting setups, perfect specular highlights and realistic environment reflections","renderer:WebGLRenderer,toneMapping:ACESFilmicToneMapping,material:MeshStandardMaterial,environmentMapIntensity:1"
110,Futuristic,Glass,"neo-glassmorphism, depth layers","rgba(255, 255, 255, 0.1);#ffffff","rgba(0, 0, 0, 0.2)","backdrop-filter: blur(20px); border: 1px solid rgba(255,255,255,0.2)","SaaS Dashboards;MacOS Apps","Text-heavy reading",TRUE,TRUE,Medium,High,TRUE,TRUE,"React;Vue","2026 (Apple Vision Pro inspired)",Medium,"frosted glass UI with multi-layer depth and glowing edges","backdrop-filter box-shadow border-image","Use standard backdrop-filter;Ensure contrast ratios;Add subtle noise texture","--glass-surface: rgba(255,255,255,0.05);--glass-border: rgba(255,255,255,0.1)"
111,Experimental,Brutalism,"data brutalism, raw grids","b&w;#000000;#ffffff","#00ff00;#ff00ff","Courier New font; 1px hard borders; no shadows","Developer Tools;Data Science","Consumer E-commerce",TRUE,TRUE,High,High,TRUE,FALSE,"Svelte;HTML","2025 (Raw Data movement)",Low,"raw data brutalism monospace terminal style high contrast","border-collapse monospace outline","Use system monospace fonts;Remove border-radius;Maximize information density","--border-width: 1px;--font-mono: 'Courier Prime'"
112,Spatial,3D,"ethereal spatial, floating elements","#E0F7FA;#E1BEE7;#B39DDB","transform: translateZ(50px); box-shadow: 0 20px 50px rgba(0,0,0,0.1)","VR/AR Interfaces;VisionOS","Mobile Web",TRUE,TRUE,Low,Medium,FALSE,TRUE,"Three.js;R3F","2026 (Spatial Web)",High,"floating holographic UI elements with volumetric lighting","transform-style preserve-3d perspective","Use CSS 3D transforms;Keep interactions simplified;Optimize active states","--depth-z: 50px;--shadow-ambient: 0 10px 30px rgba(0,0,0,0.1)"
113,Minimalist,Clean,"frosted touch, diffused","#F5F5F7;#FFFFFF","#D1D1D6","filter: blur(40px); opacity: 0.8","Healthcare;Wellness Apps",Gaming,TRUE,TRUE,High,High,TRUE,TRUE,"SwiftUI;React","2025 (Soft UI)",Low,"ultra-clean diffused interface with soft touch targets","backdrop-filter blur opacity","Maximize whitespace;Use pill shapes;Soft typography","--blur-amount: 30px;--surface-color: rgba(255,255,255,0.8)"
114,Skeuomorphic,Tactile,"light skeuomorphism, subtle depth","#F0F0F0;#E0E0E0","#FFFFFF","interset box-shadow; linear-gradient highlight","Fintech;Banking","Content Blogs",TRUE,FALSE,Medium,High,TRUE,TRUE,CSS,"2026 (Tactile Revival)",Medium,"subtle tactile button depth soft inset shadows high-end finish","box-shadow inset gradient","Use multiple box-shadows;Subtle gradients on buttons;Crisp borders","--shadow-inset: inset 0 2px 4px rgba(0,0,0,0.05);--highlight: linear-gradient(180deg, rgba(255,255,255,0.8), rgba(255,255,255,0))"
115,AI-Native,Adaptive,"ai morphing scroll, fluid","#1A1A1A;#2D2D2D","#00ffa3","scroll-timeline; view-timeline; layout-transition","Storytelling;Marketing",Dashboards,FALSE,TRUE,Low,Medium,TRUE,TRUE,"Framer Motion;GSAP","2026 (Generative UI)",High,"fluid morphing layout on scroll layout animation","view-timeline layout-shift","Use CSS scroll-driven animations;Optimize for 60fps;Avoid layout thrashing","--transition-ease: cubic-bezier(0.4, 0, 0.2, 1);--scroll-speed: 0.5s"
116,Contextual,Overlay,"ambient contextual, hud","#000000;#111111","rgba(0, 255, 163, 0.8)","mix-blend-mode: overlay; pointer-events: none","Navigation;Automotive","Text Editors",FALSE,TRUE,High,Low,TRUE,FALSE,React,"2026 (HUD Style)",Medium,"heads-up display style seamless overlay ambient glow","mix-blend-mode pointer-events","Use mix-blend-mode for integration;Keep text contrast high;Minimal interactions","--hud-color: #00ffa3;--overlay-opacity: 0.7"
